"id_posisi","jabatan_id","organisasi_id","divisi_id","departemen_id","seksi_id","nama","parent_id","deleted_at","created_at","updated_at"
1,1,NULL,NULL,NULL,NULL,"MANAGING DIRECTOR",0,NULL,"2025-06-07 10:10:49","2025-06-07 10:10:49"
4,1,NULL,NULL,NULL,NULL,"MANUFACTURING DIRECTOR",0,NULL,"2025-06-07 10:12:25","2025-06-07 10:12:25"
5,1,NULL,NULL,NULL,NULL,"ENGINEERING DIRECTOR",0,NULL,"2025-06-07 10:12:47","2025-06-07 10:12:47"
7,1,NULL,NULL,NULL,NULL,"ADMINISTRATION DIRECTOR",0,NULL,"2025-06-07 10:13:14","2025-06-07 10:13:14"
12,2,1,7,NULL,NULL,"PLANT SERVICE AST. MANAGER",4,NULL,"2025-06-07 11:06:44","2025-07-30 14:58:54"
22,4,1,8,8,8,"DESIGN & PPF SECT HEAD",15,NULL,"2025-06-07 16:20:50","2025-06-07 16:20:50"
23,4,NULL,4,13,13,"MARKETING & SALES SECT HEAD",1,NULL,"2025-06-07 16:21:42","2025-06-07 16:21:42"
24,4,NULL,4,11,11,"PURCHASING TOOL ROOM SECT HEAD",7,NULL,"2025-06-07 16:22:30","2025-06-07 16:22:30"
25,4,NULL,4,10,10,"HRD & GA SECT HEAD",7,NULL,"2025-06-07 16:22:57","2025-06-07 16:22:57"
34,5,1,8,8,8,"LEADER DESIGN & PPF",22,NULL,"2025-06-07 16:28:48","2025-06-07 16:28:48"
35,5,NULL,4,13,13,"LEADER MARKETING & SALES",23,NULL,"2025-06-07 16:29:21","2025-06-07 16:29:21"
36,5,1,4,10,10,"LEADER HRD & GA",25,NULL,"2025-06-07 16:30:34","2025-06-07 16:30:34"
37,5,1,4,10,10,"LEADER SECURITY",25,NULL,"2025-06-07 16:30:59","2025-06-07 16:30:59"
48,6,NULL,8,8,8,"DESIGN & PPF",34,NULL,"2025-06-09 09:06:01","2025-06-09 09:06:01"
49,6,NULL,4,13,13,"MARKETING & SALES",35,NULL,"2025-06-09 09:07:01","2025-06-09 09:07:01"
51,6,NULL,4,9,9,"FA & TAX",16,NULL,"2025-06-09 09:11:39","2025-06-09 09:11:39"
53,6,1,4,10,10,"HRD & GA",36,NULL,"2025-06-09 09:14:48","2025-06-09 09:14:48"
54,6,1,4,10,10,"SECURITY",37,NULL,"2025-06-09 09:15:22","2025-06-09 09:15:22"
45,6,1,7,5,5,"PLANT SERVICE",31,"2025-06-11 06:28:54","2025-06-09 08:39:26","2025-06-11 06:28:54"
46,6,1,9,6,6,"MIP",32,"2025-06-11 06:28:57","2025-06-09 08:40:13","2025-06-11 06:28:57"
11,2,1,3,NULL,NULL,"QUALITY MANAGER",4,NULL,"2025-06-07 11:05:39","2025-07-30 14:57:44"
10,2,1,10,NULL,NULL,"PPIC MANAGER",4,NULL,"2025-06-07 11:04:49","2025-07-30 15:00:10"
63,4,2,8,8,8,"P. ENGINEERING SECT HEAD",56,NULL,"2025-06-12 17:01:54","2025-06-12 17:01:54"
75,6,2,8,8,8,"P. ENGINEERING",63,NULL,"2025-06-13 12:53:38","2025-06-13 12:53:38"
13,2,1,6,NULL,NULL,"MIP AST. MANAGER",4,NULL,"2025-06-07 11:08:51","2025-07-30 15:00:28"
77,6,2,4,10,10,"HRD & GA",36,NULL,"2025-06-13 12:55:57","2025-06-13 15:05:25"
20,4,1,11,14,14,"PRODUKSI 2 SECT HEAD",4,NULL,"2025-06-07 16:19:05","2025-06-16 13:54:39"
42,6,1,11,14,14,"PRODUKSI 2",30,NULL,"2025-06-07 16:33:24","2025-06-16 13:54:39"
55,2,2,11,NULL,NULL,"STAMPING AST. MANAGER",4,NULL,"2025-06-12 16:55:13","2025-07-30 15:04:59"
21,4,1,8,7,7,"TOOL MAKING SECT HEAD",14,NULL,"2025-06-07 16:19:45","2025-06-16 13:56:08"
33,5,1,8,7,7,"LEADER TOOL MAKING",21,NULL,"2025-06-07 16:28:03","2025-06-16 13:56:08"
57,2,2,10,NULL,NULL,"PPIC AST. MANAGER",4,NULL,"2025-06-12 16:56:50","2025-07-30 15:00:55"
32,5,1,11,6,6,"LEADER MIP",13,NULL,"2025-06-07 16:27:27","2025-06-16 14:07:36"
44,6,1,11,6,6,"MIP",32,NULL,"2025-06-07 16:43:40","2025-06-16 14:07:36"
62,4,2,11,6,6,"MIP SECT HEAD",4,NULL,"2025-06-12 17:00:15","2025-06-16 14:07:36"
52,6,NULL,4,12,12,"ICT",86,NULL,"2025-06-09 09:14:12","2025-07-30 09:18:13"
31,5,1,8,5,5,"LEADER PLANT SERVICE",12,NULL,"2025-06-07 16:26:55","2025-06-16 14:07:49"
43,6,1,8,5,5,"PLANT SERVICE",31,NULL,"2025-06-07 16:40:59","2025-06-16 14:07:49"
64,4,2,8,5,5,"PLANT SERVICE SECT HEAD",4,NULL,"2025-06-12 17:02:30","2025-06-16 14:07:49"
16,2,NULL,13,NULL,NULL,"FA & TAX MANAGER",7,NULL,"2025-06-07 11:11:13","2025-07-30 15:05:23"
9,2,1,9,NULL,NULL,"WELDING MANAGER",4,NULL,"2025-06-07 11:03:53","2025-07-30 15:01:55"
29,5,1,11,4,4,"LEADER QUALITY",11,NULL,"2025-06-07 16:25:26","2025-06-16 19:02:08"
41,6,1,11,4,4,"QUALITY ASSURANCE",29,NULL,"2025-06-07 16:32:51","2025-06-16 19:02:08"
72,6,2,11,4,4,"QUALITY ASSURANCE",61,NULL,"2025-06-13 12:51:44","2025-06-16 19:02:08"
79,5,3,11,4,4,"LEADER QUALITY",61,NULL,"2025-06-13 12:58:34","2025-06-16 19:02:08"
83,6,3,11,4,4,"QUALITY ASSURANCE",79,NULL,"2025-06-13 13:00:05","2025-06-16 19:02:08"
61,4,2,11,4,4,"QUALITY SECT HEAD",56,NULL,"2025-06-12 16:59:21","2025-06-16 19:02:08"
19,4,1,11,3,3,"PPIC SECT HEAD",10,NULL,"2025-06-07 16:15:31","2025-06-16 19:02:18"
28,5,1,11,3,3,"LEADER PPIC",19,NULL,"2025-06-07 16:24:35","2025-06-16 19:02:18"
40,6,1,11,3,3,"PPIC",28,NULL,"2025-06-07 16:32:09","2025-06-16 19:02:18"
56,2,2,9,NULL,NULL,"WELDING MANAGER",4,NULL,"2025-06-12 16:56:03","2025-07-30 15:02:21"
60,4,2,11,3,3,"PPIC SECT HEAD",57,NULL,"2025-06-12 16:58:44","2025-06-16 19:02:18"
67,5,2,11,3,3,"LEADER PPIC",60,NULL,"2025-06-12 17:05:41","2025-06-16 19:02:18"
71,6,2,11,3,3,"PPIC",67,NULL,"2025-06-13 12:51:08","2025-06-16 19:02:18"
8,2,1,11,NULL,NULL,"STAMPING AST. MANAGER",4,NULL,"2025-06-07 11:03:26","2025-07-30 15:03:10"
18,4,1,11,2,2,"WELDING SECT HEAD",9,NULL,"2025-06-07 16:14:45","2025-06-16 19:02:51"
27,5,1,11,2,2,"LEADER WELDING",18,NULL,"2025-06-07 16:24:03","2025-06-16 19:02:51"
39,6,1,11,2,2,"WELDING",27,NULL,"2025-06-07 16:31:50","2025-06-16 19:02:51"
14,2,1,2,NULL,NULL,"TOOL MAKING AST. MANAGER",5,NULL,"2025-06-07 11:09:45","2025-07-30 15:03:37"
59,4,2,11,2,2,"WELDING SECT HEAD",56,NULL,"2025-06-12 16:58:15","2025-06-16 19:02:51"
66,5,2,11,2,2,"LEADER WELDING",59,NULL,"2025-06-12 17:05:17","2025-06-16 19:02:51"
70,6,2,11,2,2,"WELDING",66,NULL,"2025-06-13 12:50:47","2025-06-16 19:02:51"
78,5,3,11,2,2,"LEADER WELDING",59,NULL,"2025-06-13 12:58:12","2025-06-16 19:02:51"
15,2,1,8,NULL,NULL,"DESIGN & PPF MANAGER",5,NULL,"2025-06-07 11:10:40","2025-07-30 15:03:59"
17,4,1,11,1,1,"STAMPING SECT HEAD",8,NULL,"2025-06-07 16:14:08","2025-06-16 19:03:01"
26,5,1,11,1,1,"LEADER STAMPING",17,NULL,"2025-06-07 16:23:29","2025-06-16 19:03:01"
38,6,1,11,1,1,"STAMPING",26,NULL,"2025-06-07 16:31:29","2025-06-16 19:03:01"
58,4,2,11,1,1,"STAMPING SECT HEAD",55,NULL,"2025-06-12 16:57:38","2025-06-16 19:03:01"
65,5,2,11,1,1,"LEADER STAMPING",58,NULL,"2025-06-12 17:04:43","2025-06-16 19:03:01"
69,6,2,11,1,1,"STAMPING",65,NULL,"2025-06-13 12:50:12","2025-06-16 19:03:01"
30,5,1,11,14,14,"LEADER PRODUKSI 2",4,NULL,"2025-06-07 16:25:59","2025-06-16 13:54:39"
47,6,1,8,7,7,"TOOL MAKING",33,NULL,"2025-06-09 09:05:11","2025-06-16 13:56:08"
74,6,2,11,6,6,"MIP",62,NULL,"2025-06-13 12:52:33","2025-06-16 14:07:36"
68,5,2,8,5,5,"LEADER PLANT SERVICE",64,NULL,"2025-06-12 17:06:30","2025-06-16 14:07:49"
73,6,2,8,5,5,"PLANT SERVICE",68,NULL,"2025-06-13 12:52:10","2025-06-16 14:07:49"
84,6,3,8,5,5,"PLANT SERVICE",80,NULL,"2025-06-13 13:00:29","2025-06-16 14:07:49"
82,6,3,11,3,3,"PPIC",67,NULL,"2025-06-13 12:59:46","2025-06-16 19:02:18"
81,6,3,11,2,2,"WELDING",78,NULL,"2025-06-13 12:59:18","2025-06-16 19:02:51"
85,2,1,8,NULL,NULL,"ADVISOR",1,NULL,"2025-06-16 19:07:16","2025-06-16 19:07:16"
80,5,3,8,5,5,"LEADER PLANT SERVICE",64,NULL,"2025-06-13 12:58:56","2025-06-17 20:47:32"
86,5,NULL,4,12,12,"LEADER ICT",87,NULL,"2025-07-30 09:17:51","2025-07-30 10:38:47"
87,2,NULL,4,NULL,NULL,"DEPT HEAD ICT",7,NULL,"2025-07-30 10:38:34","2025-07-30 13:48:20"
76,6,NULL,4,11,11,"PURCHASING",50,NULL,"2025-06-13 12:55:38","2025-08-18 15:07:11"
50,5,NULL,4,11,11,"PURCHASING",7,NULL,"2025-06-09 09:11:01","2025-06-09 09:11:01"
88,5,NULL,4,11,11,"LEADER PURCHASING",7,"2025-08-18 15:06:39","2025-08-18 15:06:10","2025-08-18 15:06:39"
